q_index,q_type,q_toggle_index,q_click_time_no_reset,q_click_time,q_toggled_area
1,yesno,1,1.733,1.733,no
1,yesno,2,4.312,2.578,submit
2,likert,1,6.167,6.167,neutral
2,likert,2,8.434,2.267,submit
3,mcq,1,1.738,1.738,Tea
3,mcq,2,3.373,1.635,Coffee
3,mcq,3,5.073,1.7,Water
3,mcq,4,7.205,2.132,submit
4,textgrid,1,2.132,2.132,group:0(A-G)
4,textgrid,2,4.034,1.901,char:G
4,textgrid,3,5.733,1.699,group:2(O-U)
4,textgrid,4,7.934,2.201,char:O
4,textgrid,5,9.567,1.633,group:2(O-U)
4,textgrid,6,11.867,2.301,char:O
4,textgrid,7,13.434,1.567,group:0(A-G)
4,textgrid,8,15.8,2.366,char:D
4,textgrid,9,23.501,7.701,submit
5,yesno,1,2.27,2.27,no
5,yesno,2,4.734,2.464,submit
6,likert,1,6.137,6.137,very experienced
6,likert,2,13.868,7.731,submit
7,mcq,1,1.663,1.663,Das
7,mcq,2,2.798,1.134,'s'
7,mcq,3,4.827,2.029,muss
7,mcq,4,6.395,1.568,mit
7,mcq,5,9.131,2.737,submit
8,textgrid,1,1.322,1.322,group:0(A-G)
8,textgrid,2,2.312,0.99,char:A
8,textgrid,3,4.329,2.018,group:3(V-Z_)
8,textgrid,4,7.631,3.302,char:W
8,textgrid,5,8.799,1.167,group:0(A-G)
8,textgrid,6,11.058,2.26,char:E
8,textgrid,7,14.929,3.871,group:2(O-U)
8,textgrid,8,16.631,1.702,char:S
8,textgrid,9,19.365,2.733,group:2(O-U)
8,textgrid,10,22.319,2.955,char:O
8,textgrid,11,24.83,2.51,group:1(H-N)
8,textgrid,12,26.83,2.001,char:M
8,textgrid,13,28.599,1.769,group:0(A-G)
8,textgrid,14,31.001,2.402,char:E
8,textgrid,15,33.733,2.732,submit
9,sp_yesno,1,3.08,3.08,select:yes
9,sp_yesno,2,8.183,5.103,submit
10,sp_likert,1,3.659,3.659,select:Sometimes
10,sp_likert,2,6.026,2.367,select:Often
10,sp_likert,3,8.486,2.46,select:Sometimes
10,sp_likert,4,12.026,3.54,select:Barely
10,sp_likert,5,15.465,3.439,submit
11,sp_mcq,1,2.895,2.895,toggle:Captain
11,sp_mcq,2,5.726,2.832,toggle:Jack
11,sp_mcq,3,8.057,2.331,toggle:Sparrow
11,sp_mcq,4,12.094,4.037,submit
