q_index,q_type,q_toggle_index,q_click_time_no_reset,q_click_time,q_toggled_area
1,yesno,1,3.415,3.415,no
1,yesno,2,11.315,7.9,submit
2,likert,1,3.939,3.939,comfortable
2,likert,2,5.558,1.619,submit
3,mcq,1,7.18,7.18,Tea
3,mcq,2,8.812,1.632,Coffee
3,mcq,3,10.578,1.766,Water
3,mcq,4,12.68,2.102,submit
4,textgrid,1,10.166,10.166,group:1(H-N)
4,textgrid,2,12.136,1.97,char:I
4,textgrid,3,15.836,3.7,group:3(V-Z_)
4,textgrid,4,17.069,1.232,char:SPACE
4,textgrid,5,19.503,2.434,group:0(A-G)
4,textgrid,6,21.199,1.696,char:A
4,textgrid,7,23.725,2.525,group:1(H-N)
4,textgrid,8,26.205,2.48,char:M
4,textgrid,9,32.977,6.773,group:3(V-Z_)
4,textgrid,10,40.224,7.247,char:SPACE
4,textgrid,11,44.327,4.103,group:2(O-U)
4,textgrid,12,47.774,3.446,char:T
4,textgrid,13,51.837,4.063,group:1(H-N)
4,textgrid,14,54.839,3.002,char:I
4,textgrid,15,58.003,3.165,group:2(O-U)
4,textgrid,16,59.235,1.232,char:R
4,textgrid,17,61.104,1.869,group:0(A-G)
4,textgrid,18,63.876,2.772,char:E
4,textgrid,19,65.705,1.829,group:0(A-G)
4,textgrid,20,67.603,1.898,char:D
4,textgrid,21,71.073,3.47,submit
5,yesno,1,2.334,2.334,no
5,yesno,2,8.874,6.539,submit
6,likert,1,1.697,1.697,very experienced
6,likert,2,7.229,5.532,submit
7,mcq,1,2.73,2.73,Das
7,mcq,2,4.311,1.581,'s'
7,mcq,3,6.273,1.962,muss
7,mcq,4,8.903,2.63,mit
7,mcq,5,11.15,2.247,submit
8,textgrid,1,10.683,10.683,group:0(A-G)
8,textgrid,2,12.915,2.232,char:F
8,textgrid,3,14.414,1.499,group:2(O-U)
8,textgrid,4,15.842,1.428,char:U
8,textgrid,5,21.318,5.476,group:1(H-N)
8,textgrid,6,23.285,1.967,char:N
8,textgrid,7,25.05,1.765,group:1(H-N)
8,textgrid,8,26.988,1.939,char:N
8,textgrid,9,28.418,1.43,group:3(V-Z_)
8,textgrid,10,32.822,4.404,char:Y
8,textgrid,11,35.019,2.197,submit
9,sp_yesno,1,3.338,3.338,select:yes
9,sp_yesno,2,8.301,4.963,submit
10,sp_likert,1,10.168,10.168,select:Very Often
10,sp_likert,2,12.927,2.76,select:Sometimes
10,sp_likert,3,15.399,2.472,submit
11,sp_mcq,1,3.963,3.963,toggle:Captain
11,sp_mcq,2,7.532,3.569,toggle:Jack
11,sp_mcq,3,8.859,1.327,toggle:Jack
11,sp_mcq,4,12.731,3.872,toggle:Jack
11,sp_mcq,5,15.832,3.101,toggle:Sparrow
11,sp_mcq,6,19.162,3.33,submit
